 ,Salix brownei (Andersson) Bebb var. petraea (Andersson) Bebb
 ,Salix caespitosa Kennedy
alkali goldenbush,Salix petrophila Rydb. var. caespitosa (Kennedy) C.K. Schneid.
 ,Haplopappus apargioides A. Gray
 ,Trifolium elegans Savi
 ,Trifolium hybridum L. ssp. elegans (Savi) Asch. & Graebn.
alkali goldfields,Trifolium hybridum L. var. elegans (Savi) Boiss.
 ,Trifolium hybridum L. var. pratense Rabenh.
alkali mallow,Gilia leptalea (A. Gray) Greene ssp. pinnatisecta H. Mason & A.D. Grant
 ,Gilia sinistra M.E. Jones ssp. pinnatisecta (H. Mason & A.D. Grant) A.G. Day
 ,Gilia sinistra M.E. Jones
 ,Gilia sinistra M.E. Jones ssp. sinistra
alkali mariposa lily,Quercus dumosa Nutt. var. alvordiana (Eastw.) Jeps.
alkali marsh aster,"Alyssum minus (L.) Rothm., nom. illeg."
alkali marsh aster,Alyssum minus (L.) Rothm. var. micranthum (C.A. Mey.) Dudley
 ,Alyssum parviflorum Fisch. ex M. Bieb.
 ,Alyssum parviflorum Fisch. ex M. Bieb. var. micranthum (C.A. Mey.) Dorn
alkali milkvetch,Clypeola minus L. p.p.
alkali milkvetch,Alyssum minus (L.) Rothm. var. strigosum (Banks & Sol.) Zohary
alkali pepperweed,Camissonia boothii (Douglas ex Lehm.) P.H. Raven var. alyssoides (Hook. & Arn.) N.H. Holmgren & P.K. Holmgren
alkali pepperweed,Camissonia boothii (Douglas ex Lehm.) P.H. Raven var. villosa (S. Watson) Cronquist
alkali pepperwort,Oenothera alyssoides Hook. & Arn.
 ,Oenothera alyssoides Hook. & Arn. var. villosa S. Watson
alkali phacelia,Oenothera boothii Douglas ex Lehm. ssp. alyssoides (Hook. & Arn.) Munz
alkali sacaton,Franseria ambrosioides Cav.
 ,Veronica alpina L. var. alterniflora Fernald
alkali seaheath,Veronica alpina L. var. cascadensis Fernald
 ,Veronica alpina L. var. geminiflora Fernald
 ,Veronica alpina L. var. nutans (Bong.) B. Boivin
 ,Veronica alpina L. var. terrae-novae Fernald
alkali swainsonpea,Veronica alpina L. var. unalaschcensis Cham. & Schltdl.
 ,Veronica nutans Bong.
 ,Veronica stelleri Pall. ex Schrad. & Link var. glabrescens Hultén
alkali wildrye,Veronica wormskjoldii Roem. & Schult. ssp. alterniflora (Fernald) Pennell
 ,Acmispon americanum (Nutt.) Rydb.
 ,Hosackia americana (Nutt.) Piper
 ,"Lotus americanus (Nutt.) Bisch., non Vell."
 ,Lotus purshianus Clem. & E.G. Clem.
 ,Lotus purshianus Clem. & E.G. Clem. var. glaber (Nutt.) Munz
alkaligrass,"Lotus sericeus Pursh, non Moench"
alkalisink goldfields,Bistorta bistortoides (Pursh) Small
 ,Persicaria bistortoides (Pursh) H. Hinds
alkaliweed,Polygonum bistortoides Pursh var. linearifolium (S. Watson) Small
Allegheny blackberry,Polygonum bistortoides Pursh var. oblongifolium (Meisn.) H. St. John
Allegheny blackberry,Polygonum cephalophorum Greene
 ,Polygonum glastifolium Greene
 ,Polygonum vulcanicum Greene
 ,"Sambucus caerulea Raf. var. mexicana (C. Presl ex DC.) L.D. Benson, orth. var."
 ,Sambucus canadensis L.
 ,Sambucus canadensis L. var. laciniata A. Gray
 ,Sambucus canadensis L. var. submollis Rehder
 ,Sambucus cerulea Raf. var. mexicana (C. Presl ex DC.) L.D. Benson
 ,Sambucus mexicana C. Presl ex DC.
 ,Sambucus orbiculata Greene
 ,Sambucus simpsonii Rehder ex Sarg.
 ,Solanum americanum Mill. var. nodiflorum (Jacq.) Edmonds
Allegheny monkeyflower,Solanum americanum Mill. var. patulum (L.) Edmonds
Allegheny monkeyflower,Solanum caribaeum Dunal
 ,Solanum fistulosum Dunal ex Poir.
 ,Solanum hermannii Dunal
 ,Solanum linnaeanum Hepper & P.-M. L. Jaeger
 ,Solanum nigrum L. var. americanum (Mill.) O.E. Schulz
Allen Springs dwarf-flax,Solanum nigrum L. var. virginicum L.
 ,Solanum nodiflorum Jacq.
 ,"Solanum sodomeum L., nom. utique rej."
Allen's pentachaeta,Corispermum marginale Rydb. p.p.
allenrolfea,Corispermum orientale auct. non Lam.
alligatorweed,Corispermum simplicissimum Lunell
 ,"Erechtites hieracifolia (L.) Raf. ex DC., orth. var."
allthorn,"Erechtites hieraciifolia (L.) Raf. ex DC., orth. var."
aloe,"Erechtites hieraciifolia (L.) Raf. ex DC. var. hieraciifolia (L.) Raf. ex DC., orth. var."
aloe,"Erechtites hieraciifolia (L.) Raf. ex DC. var. intermedia Fernald, orth. var."
alpine alumroot,"Erechtites hieraciifolia (L.) Raf. ex DC. var. praealta (Raf.) Fernald, orth. var."
 ,Erechtites hieraciifolius (L.) Raf. ex DC. var. intermedius Fernald
 ,Erechtites hieraciifolius (L.) Raf. ex DC. var. praealtus (Raf.) Fernald
 ,Senecio hieraciifolius L.
alpine bedstraw,Agave americana L. var. marginata Trel.
alpine bedstraw,Agave americana L. var. mediopicta Trel.
alpine bedstraw,Agave americana L. var. striata Trel.
 ,"Phragmites americanus (Saltonst., P.M. Peterson, & Soreng) A. Haines"
alpine bentgrass,Elymus arenarius L. ssp. mollis (Trin.) Hultén
 ,Elymus arenarius L. var. scabrinervis (Bowden) B. Boivin
 ,Elymus arenarius L. var. villosus E. Mey.
 ,Elymus capitatus Scribn.
alpine bittercress,Elymus mollis Trin.
